Registro,Modalidad,Responsable,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Programa de remediación aprobado,x,y,Técnica,Responsable de la remediación,Proceso de tratamiento,Año de conclusión,Área de suelo remediado m²,Año de identificación,Volumen de suelo remediado m³
1312,,,,,"Km 117+200 carretera federal No. 37D Carapan-Playa Azul, tramo Uruapan-Cuatro caminos",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2013,581,,391.7
1313,,,,,"Km 121+100 carretera Puebla-Huajapan, tramo Tehuitzingo, a la altura de la comunidad Boqueroncito",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2013,1883.5,,188.35
1314,,,,,"Área de Morales, calle Arsénico No. 700, colonia Morales, C.P. 78180",,,,,,,,,,,Disposición final,"Industrial Minera México,  S.A. de C.V.",Disposición final fuera del sitio,2016,1565059,,481729
1315,Emergencia ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,Tampico Alto,Km 072+370 oleoducto de 24 Ø línea 2 Nuevo Teapa-Madero-Cadereyta tramo Naranjos-Madero ,Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,9497.44,25423,Si,-97.759,21.947,,,,,,2012,
1317,,,,,"Avenida Talismán No. 210, colonia Tres Estrellas",,,,,,,,,,,Disposición final,"ERM México, S.A. de C.V.",Disposición final fuera del sitio,2014,329.35,,483.41
1318,,,,,"Posición 7 de la plataforma del Aeropuerto de Chihuahua, localizado en boulevard Juan Pablo II colonia Aeropuerto",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2014,158,,428
1319,Emergencia ambiental,Pemex Refinación,Oaxaca,Salina Cruz,"Km 005+650 combustoleoducto de 16 Ø, Refinería Ing. Antonio Dovalí Jaime-Terminal Marítima Salina Cruz de la Línea 1, del derecho de vía 45, colonia Hugo Mayoral",Fuga,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,101.16,240.58,Si,-95.217,16.208,,,,,,2012,
1320,Emergencia ambiental,Pemex Refinación,Oaxaca,Salina Cruz,"Km 001+490, 1+520 y 1+535 oleoducto de 48"" Ø Nuevo Teapa-Salina Cruz dentro de la Refinería ""Ing. Antonio Dovalí Jaime""",Fuga,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,3063.43,12125.99,Si,-95.182,16.211,,,,,,2012,
1321,Emergencia ambiental,Pemex Refinación,Oaxaca,San Juan Guichicovi,"Km 161+500 ex oleoducto de 30 Ø, Nuevo Teapa-Salina Cruz, derecho de vía 41, Ejido de Sarabia",Fuga,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,175.71,105.42,Si,-95.013,17.074,,,,,,2012,
1322,Emergencia ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,Nanchital de Lázaro Cárdenas del Río,"Km 009+240 oleoducto de 30 Ø, Nuevo Teapa-Poza Rica, margen derecha Río Coatzacoalcos",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,497.62,298.56,Si,-94.413,18.063,,,,,,2012,
1323,Emergencia ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,Coatzacoalcos,"Km 029+700 combustoleoducto de 14 Ø, Minatitlán-Pajaritos",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,192.05,72.25,Si,-94.401,18.105,,,,,,2012,
1324,Emergencia ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,Tierra Blanca,"Km 219+809 poliducto de 12 Ø, Minatitlán-México, en la colonia Flores Magón",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,3590.31,1672.57,Si,-96.345,18.457,,,,,,2012,
1325,Pasivo ambiental,Pemex Refinación,San_Luis_Potosí,Matehuala,Terminal de almacenamiento y Reparto Matehuala,Derrames y/o fugas,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Hidrocarburos de  fracción media y pesados,Hidrocarburos,282.41,515.23,Si,-100.644,23.666,,,,,,2012,
1326,Emergencia ambiental,Eusebio Santana Vega,Chiapas,Arriaga,"Km 7+250 camino nacional No. 200 Tepic-Puente Talismán, en el tramo libramiento Arriaga-Chiapas",Derrame,Otro autotransporte local de carga especializado,Autotransporte de carga,Petrolíferos,Hidrocarburos,377.63,755.26,Si,-93.868,16.219,,,,,,2012,
1327,,,,,"Km 336+900 camino nacional No. 200 Tepic Nayarit-Puente Talismán, tramo Santiago Astata-Salina Cruz, poblado La Cotorra",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2015,255,,130
1328,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,"Área del Pozo Tamaulipas 144, el sitio se ubica a una distancia aproximada de 2.0 kilómetros al este de la entrada a la brecha El Chocolate",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media y pesados,Hidrocarburos,1238.03,546.14,Si,-97.926,22.407,,,,,,2012,
1329,,,,,"Km 024+900 camino nacional No. 90 Irapuato-Guadalajara, tramo Irapuato-Abasolo",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2014,1207.5,,479.1
1330,,,,,"Km 033+000 autopista No. 135D Cuacnopalan-Oaxaca, tramo Cuacnopalan-Tehuacán",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2014,1288,,548.2
1331,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Álamo Temapache,Presa del Pozo Álamo 1-A,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,1444.62,2675.02,Si,-97.678,20.919,,,,,,2012,
1332,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,Pozo Talaxca 33-A a una distancia aproximada de 2.0 kilómetros al norte de la comunidad de Talaxca,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,245.47,175.97,Si,-97.352,20.524,,,,,,2012,
1333,Emergencia ambiental,José Erasto Amador Martínez,Nuevo_León,Mina,Km 062+500 carretera Mina-Monclova,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Bases,Ácidos y bases,378.59,376.17,Si,-100.671,26.2,,,,,,2012,
1334,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Presa del Pozo Escolín 114-A, ubicado a una distancia aproximada de 4 kilómetros al este de Poza Rica ",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,253.55,244.69,Si,-97.39,20.529,,,,,,2012,
1335,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Presa del Pozo Escolín 116-A, a una distancia aproximada de 4.5 kilómetros al este de Poza Rica",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,379.87,372.85,Si,-97.384,20.53,,,,,,2012,
1336,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Presa del Pozo San Andrés 79-A, ubicado aproximadamente a 2 kilómetros al sur de la comunidad Remolino",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,698.82,1076.91,Si,-97.188,20.366,,,,,,2012,
1337,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Presa del Pozo Riachuelos 1-B, el sitio se ubica a una distancia aproximada de 1.1 kilómetros al este de la comunidad Benito Juárez",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,258.06,797.94,Si,-97.162,20.274,,,,,,2012,
1338,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Área del Pozo Talaxca 36-A, el sitio se ubica a una distancia aproximada de 2.0 kilómetros al norte de la comunidad Talaxca",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,235.65,112.95,Si,-97.355,20.523,,,,,,2012,
1339,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,"Presa del Pozo Talaxca 24-A, el sitio se ubica a una distancia aproximada de 1.7 kilómetros al norte de la comunidad Talaxca",Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,208.76,114.81,Si,-97.347,20.524,,,,,,2012,
1340,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Castillo de Teayo,Presa del Pozo Castillo de Teayo 18-A,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos,Hidrocarburos,80,142.37,No,-97.647,20.741,,,,,,2012,
1341,Emergencia ambiental,Pemex Refinación,Nuevo_León,Mina,Km 125+047 poliducto de 10 Ø Satélite-Monclova-Sabinas,Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,346.95,1307.9,Si,-100.946,26.407,,,,,,2012,
1342,Emergencia ambiental,Pemex Refinación,Tamaulipas,Matamoros,Km 245+972 poliducto 12 Ø Cadereyta-Reynosa-Matamoros,Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,1541.57,5339,Si,-97.8,25.977,,,,,,2012,
1343,,,,,"Km 036+500 camino nacional No. 120 Tamuin-Tepalcatepec, tramo Quiroga-Los Sabinos",,,,,,,,,,,Biológicos,Ana Lilia Sánchez Hernández,Bioventeo aerobio en el sitio contaminado,2014,354,,354
1344,Emergencia ambiental,"Autotanques Herca de Ocozocoautla, S.A. de C.V.",Chiapas,Huixtán,"Km 217 carretera No. 186 San Cristóbal-Ococingo, en el tramo Rancho Nuevo-Oshuck",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,506.39,354.47,Si,-92.484,16.695,,,,,,2012,
1345,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Papantla,Km 000+150 línea de descarga de 4 Ø no metálica pozo Santa Águeda No. 20 (BM) cerrado a Batería de Separación Santa Águeda 1,Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,852.55,581.33,Si,-97.299,20.566,,,,,,2012,
1346,Emergencia ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Tihuatlán,"Km 001+150 línea de descarga de 4"" Ø del Pozo Mecatepec 18 (BM) del poblado de Mecatepec ",Fuga,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Petróleo crudo,Hidrocarburos,300.05,59.62,Si,-97.489,20.549,,,,,,2012,
1347,Emergencia ambiental,Pemex Refinación,Guanajuato,Salamanca,Área de separadores de aceite dentro de la Refinería Ing. Antonio M. Amor,Fuga,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petróleo crudo,Hidrocarburos,940.08,2333.92,Si,-101.176,20.573,,,,,,2012,
1348,Pasivo ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,Minatitlán,"Refinería ""General Lázaro Cárdenas"" en avenida Díaz Mirón No. 119, colonia Obrera, C.P. 96740",Derrames y/o fugas,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Hidrocarburos pesados,Hidrocarburos,32200,N.E.I.,No,-94.525,17.99,,,,,,2012,
